device;ano-mes;min_temp;max_temp;total_temp;min_humi;max_humi;total_humi;min_lumi;max_lumi;total_lumi;min_noise;max_noise;total_noise;min_eco2;max_eco2;total_eco2;min_etvoc;max_etvoc;total_etvoc
sirrosteste_UCS_AMV-19;2024-06;19.50;19.50;19.50;87.20;89.90;89.80;0.00;379.90;74.67;44.70;110.50;67.19;0.00;1183.00;106.72;400.00;2220.00;808.63
sirrosteste_UCS_AMV-22;2024-06;15.60;15.60;15.60;61.90;61.90;61.89;0.00;30.70;3.24;59.10;102.10;68.05;0.00;1184.00;237.20;400.00;2219.00;1137.93
sirrosteste_UCS_AMV-09;2024-07;9.00;28.20;14.32;39.90;73.50;63.55;0.00;1995.70;1.08;49.20;120.00;86.55;0.00;20.00;19.94;400.00;403.00;402.99
sirrosteste_UCS_AMV-13;2024-07;24.40;24.60;24.52;47.90;48.30;48.12;825.60;838.80;830.53;81.30;93.50;86.30;0.00;0.00;0.00;400.00;407.00;402.50
sirrosteste_UCS_AMV-12;2024-07;0.60;37.90;12.40;22.00;90.70;73.07;0.00;4802.00;129.03;52.60;120.00;84.30;0.00;1194.00;99.81;400.00;2226.00;673.89
sirrosteste_UCS_AMV-08;2024-07;1.70;29.10;12.77;23.00;97.60;77.89;0.00;8494.50;704.70;49.40;106.00;76.97;0.00;980.00;13.15;400.00;2128.00;419.67
sirrosteste_UCS_AMV-17;2024-07;1.40;26.00;11.71;31.90;92.60;75.82;-1.00;110.30;6.28;46.80;106.50;76.44;0.00;1194.00;323.29;400.00;2224.00;1081.87
sirrosteste_UCS_AMV-14;2024-07;1.70;42.60;15.03;13.20;83.80;65.24;0.00;27306.20;619.52;42.70;120.00;73.68;0.00;1197.00;356.34;400.00;2227.00;1305.22
sirrosteste_UCS_AMV-16;2024-07;0.30;32.10;11.18;27.30;100.00;85.76;0.00;9262.70;706.91;48.20;107.70;75.59;0.00;286.00;13.08;400.00;1641.00;408.72
sirrosteste_UCS_AMV-06;2024-07;1.70;25.30;13.94;35.50;100.00;83.29;0.50;1284.30;88.94;58.20;120.00;83.98;0.00;0.00;0.00;400.00;400.00;400.00
sirrosteste_UCS_AMV-18;2024-07;2.40;20.30;8.27;75.50;99.80;95.87;1.00;4199.30;454.14;48.80;114.30;83.45;20.00;20.00;20.00;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2024-07;0.20;28.30;12.65;23.00;94.50;77.47;0.00;3157.60;322.40;48.10;108.40;71.28;0.00;11.00;0.00;401.00;479.00;403.70
sirrosteste_UCS_AMV-10;2024-07;2.90;23.20;12.43;35.00;99.90;78.02;0.00;107.90;14.59;43.80;110.30;72.28;0.00;1191.00;21.31;400.00;2221.00;493.01
sirrosteste_UCS_AMV-11;2024-07;16.60;16.60;16.60;96.10;98.20;98.23;0.00;5926.70;590.71;46.90;120.00;72.79;20.00;20.00;20.00;403.00;403.00;403.06
sirrosteste_UCS_AMV-22;2024-07;14.30;27.00;16.41;43.80;92.90;65.48;-1.00;7213.80;157.37;55.00;114.70;71.91;0.00;1183.00;157.94;400.00;2218.00;996.24
sirrosteste_UCS_AMV-20;2024-07;7.00;24.80;12.08;40.60;92.00;75.21;2.80;3596.40;424.58;51.70;120.00;74.56;0.00;19.00;0.04;400.00;533.00;400.34
sirrosteste_UCS_AMV-23;2024-07;0.90;28.30;9.81;37.80;100.00;91.31;0.00;1910.90;237.62;45.10;111.00;76.92;0.00;1127.00;24.89;400.00;2194.00;445.22
sirrosteste_UCS_AMV-19;2024-07;8.20;24.80;19.11;56.60;98.40;87.18;0.00;485.90;78.73;43.80;104.80;71.95;0.00;109.00;9.09;400.00;1119.00;447.07
sirrosteste_UCS_AMV-17;2024-08;0.80;26.40;13.19;36.10;91.20;72.65;-1.00;91.90;9.23;45.60;104.20;76.49;0.00;1190.00;179.21;400.00;2222.00;774.93
sirrosteste_UCS_AMV-06;2024-08;12.80;26.60;18.75;45.80;99.90;81.26;0.30;1221.30;91.09;68.50;120.00;85.78;0.00;0.00;0.00;400.00;400.00;400.00
sirrosteste_UCS_AMV-12;2024-08;11.70;41.10;19.40;27.40;85.30;63.97;2.00;3236.50;244.73;56.10;101.60;77.50;0.00;1194.00;108.89;401.00;2226.00;668.50
sirrosteste_UCS_AMV-08;2024-08;0.70;35.50;15.42;29.40;96.60;70.11;0.00;13997.20;1082.90;49.10;112.30;78.44;0.00;184.00;8.36;403.00;1518.00;411.00
sirrosteste_UCS_AMV-19;2024-08;12.70;24.30;18.00;57.00;89.50;81.45;0.00;454.50;78.10;44.50;105.40;67.92;20.00;20.00;20.00;403.00;403.00;403.00
sirrosteste_UCS_AMV-16;2024-08;0.00;60.00;13.90;20.70;100.00;79.38;0.00;14602.40;928.84;47.70;120.00;76.96;0.00;171.00;17.80;400.00;1498.00;411.33
sirrosteste_UCS_AMV-10;2024-08;2.80;30.30;15.63;33.50;96.20;68.06;0.00;109.90;17.44;43.80;115.20;72.69;0.00;1165.00;14.58;400.00;2211.00;437.18
sirrosteste_UCS_AMV-14;2024-08;2.50;44.50;18.90;10.50;82.30;56.02;0.00;27306.20;742.22;42.60;120.00;74.58;0.00;1196.00;320.61;400.00;2226.00;1113.13
sirrosteste_UCS_AMV-11;2024-08;2.20;35.00;15.31;29.90;98.20;88.69;0.00;8054.20;754.98;46.20;113.40;72.79;20.00;20.00;20.00;403.00;403.00;403.07
sirrosteste_UCS_AMV-05;2024-08;0.40;35.00;15.74;26.40;94.60;68.42;0.00;3444.10;443.11;48.20;120.00;72.13;0.00;20.00;15.34;401.00;403.00;402.60
sirrosteste_UCS_AMV-20;2024-08;0.00;3278.30;13.79;27.10;95.20;71.78;0.50;5574.20;473.32;38.30;120.00;70.72;0.00;41.00;6.22;400.00;676.00;401.28
sirrosteste_UCS_AMV-22;2024-08;4.60;30.10;14.35;34.20;95.40;85.84;-1.00;-1.00;-1.00;47.80;114.80;82.96;0.00;1193.00;54.03;400.00;2224.00;565.60
sirrosteste_UCS_AMV-05;2024-09;6.30;35.00;19.38;24.50;95.90;69.70;0.00;9218.60;598.99;49.40;120.00;72.97;20.00;20.00;20.00;403.00;403.00;403.04
sirrosteste_UCS_AMV-08;2024-09;6.00;34.00;18.97;29.30;97.90;72.12;0.00;27306.20;1824.60;47.30;120.00;78.29;0.00;0.00;0.00;408.00;408.00;408.00
sirrosteste_UCS_AMV-10;2024-09;5.00;30.40;19.40;34.20;99.90;67.56;0.00;115.10;24.34;47.90;120.00;72.90;0.00;20.00;15.51;401.00;442.00;403.02
sirrosteste_UCS_AMV-11;2024-09;8.40;22.50;15.16;56.60;99.90;71.30;0.00;6716.10;953.81;48.90;120.00;73.11;20.00;20.00;20.00;403.00;403.00;403.03
sirrosteste_UCS_AMV-14;2024-09;6.80;49.90;21.48;12.40;83.60;60.17;0.00;23316.00;628.55;43.30;120.00;75.08;0.00;1197.00;265.63;400.00;2226.00;1033.17
sirrosteste_UCS_AMV-16;2024-09;2.30;36.30;16.74;25.20;100.00;83.40;0.00;27306.20;1219.89;47.40;120.00;77.26;20.00;20.00;20.00;403.00;403.00;403.03
sirrosteste_UCS_AMV-07;2024-09;17.80;27.30;21.58;44.50;71.50;58.55;0.00;886.80;13.91;39.20;102.00;56.03;0.00;542.00;75.03;400.00;1869.00;861.44
sirrosteste_UCS_AMV-04;2024-09;18.10;26.60;21.69;45.80;73.20;59.48;0.00;2231.00;12.16;54.70;104.10;84.62;0.00;299.00;45.27;404.00;1659.00;695.62
sirrosteste_UCS_AMV-20;2024-09;1.80;37.50;16.67;25.40;95.90;74.12;2.50;7835.70;640.78;38.70;120.00;71.14;0.00;0.00;0.00;400.00;400.00;400.00
sirrosteste_UCS_AMV-22;2024-09;15.30;15.30;15.31;89.10;91.30;91.22;-1.00;-1.00;-1.00;50.30;120.00;83.32;0.00;1083.00;11.69;400.00;2173.00;475.19
sirrosteste_UCS_AMV-08;2024-10;7.50;35.30;17.12;34.80;97.90;79.69;0.00;27306.20;2314.70;49.80;120.00;78.88;0.00;71.00;0.34;408.00;873.00;410.18
